    Wavelength  Flux
    microns     Jy
    8.3838    5.5112
    8.4048    5.6167
    8.4258    5.8321
    8.4469    6.1208
    8.4681    6.3938
    8.4893    6.5875
    8.5105    6.5802
    8.5318    6.4604
    8.5532    6.2847
    8.5746    6.1489
    8.5960    6.1039
    8.6176    6.0907
    8.6391    6.0645
    8.6608    5.9474
    8.6824    5.6922
    8.7042    5.5367
    8.7260    5.4237
    8.7478    5.3970
    8.7697    5.4775
    8.7916    5.6450
    8.8137    5.7517
    8.8357    5.7051
    8.8578    5.5062
    8.8800    5.1761
    8.9022    4.8500
    8.9245    4.7465
    8.9469    4.8101
    8.9693    4.9623
    8.9917    5.1090
    9.0142    5.2149
    9.0368    5.2698
    9.0594    5.3238
    9.0821    5.3165
    9.1048    5.3206
    9.1276    5.3296
    9.1504    5.3067
    9.1733    5.2808
    9.1963    5.2761
    9.2193    5.2351
    9.2424    5.2800
    9.2655    5.3732
    9.2887    5.4756
    9.3120    5.5521
    9.3353    5.6486
    9.3587    5.6526
    9.3821    5.6567
    9.4056    5.6930
    9.4291    5.7911
    9.4527    5.8945
    9.4764    6.1053
    9.5001    6.1911
    9.5239    6.2544
    9.5477    6.2847
    9.5716    6.2948
    9.5956    6.2747
    9.6196    6.2847
    9.6437    6.3895
    9.6678    6.5182
    9.6920    6.6738
    9.7163    6.7614
    9.7406    6.7320
    9.7650    6.6333
    9.7894    6.5708
    9.8139    6.5593
    9.8385    6.4398
    9.8631    6.3178
    9.8878    6.1957
    9.9126    6.1482
    9.9374    6.2362
    9.9622    6.4820
    9.9872    6.7812
   10.0122    7.0992
   10.0372    7.3464
   10.0624    7.4752
   10.0876    7.4269
   10.1128    7.3499
   10.1381    7.3502
   10.1635    7.4315
   10.1889    7.5305
   10.2144    7.6131
   10.2400    7.6660
   10.2656    7.6123
   10.2913    7.6042
   10.3171    7.5883
   10.3429    7.5938
   10.3688    7.5976
   10.3948    7.6123
   10.4208    7.6494
   10.4469    7.6990
   10.4730    7.7636
   10.4992    7.8005
   10.5255    7.8633
   10.5519    7.9663
   10.5783    8.1096
   10.6048    8.2215
   10.6313    8.2236
   10.6579    8.1625
   10.6846    8.1667
   10.7113    8.2694
   10.7381    8.5811
   10.7650    8.9194
   10.7920    9.2067
   10.8190    9.3696
   10.8461    9.5051
   10.8732    9.5249
   10.9004    9.5084
   10.9277    9.5964
   10.9551    9.8741
   10.9825   10.3033
   11.0100   10.8081
   11.0375   11.3022
   11.0652   11.5828
   11.0929   11.7320
   11.1206   11.9705
   11.1485   12.6227
   11.1764   13.6436
   11.2044   14.9329
   11.2324   16.2503
   11.2605   17.1509
   11.2887   17.5162
   11.3170   17.3654
   11.3453   16.9148
   11.3737   16.1572
   11.4022   15.2846
   11.4307   14.5483
   11.4593   13.9562
   11.4880   13.6384
   11.5167   13.5925
   11.5456   13.6356
   11.5745   13.5990
   11.6034   13.3458
   11.6325   13.0028
   11.6616   12.7349
   11.6908   12.8063
   11.7201   13.3052
   11.7494   13.9186
   11.7788   14.3455
   11.8083   14.4368
   11.8379   14.3573
   11.8675   14.1338
   11.8972   14.0448
   11.9270   14.0709
   11.9568   14.1896
   11.9868   14.2494
   12.0168   14.1511
   12.0468   13.9670
   12.0770   13.6533
   12.1072   13.6091
   12.1375   13.8163
   12.1679   14.1886
   12.1984   14.5426
   12.2289   14.9259
   12.2595   15.2796
   12.2902   15.7695
   12.3210   16.2489
   12.3518   16.8871
   12.3827   17.5046
   12.4137   18.2437
   12.4448   18.9632
   12.4759   19.4967
